File ID,File Name,Destination Folder,Source Folder,Feature,Date,Time,Size (bytes),Version,CRC32,Options
00001,UltimateDebug.clw,%_SB_INSTALLDIR%\Accessory\Libsrc\win,H:\Dev\ClarionLive! Utilities\UltimateDebug\Libsrc,Ultimate Debug,2014/04/18,15:49:59,46162,,4551D52A,
00002,UltimateDebug.inc,%_SB_INSTALLDIR%\Accessory\Libsrc\win,H:\Dev\ClarionLive! Utilities\UltimateDebug\Libsrc,Ultimate Debug,2014/04/18,15:49:59,8935,,F77DE266,
00003,UltimateDebug.tpl,%_SB_INSTALLDIR%\Accessory\Template\win,H:\Dev\ClarionLive! Utilities\UltimateDebug\Templates,Ultimate Debug,2014/06/06,08:59:46,10586,,F3DADE00,
00004,UltimateDebug.tpw,%_SB_INSTALLDIR%\Accessory\Template\win,H:\Dev\ClarionLive! Utilities\UltimateDebug\Templates,Ultimate Debug,2014/04/19,08:25:15,7686,,537C54CE,
00005,UltimateDebug2.TPW,%_SB_INSTALLDIR%\Accessory\Template\win,H:\Dev\ClarionLive! Utilities\UltimateDebug\Templates,Ultimate Debug,2014/06/06,04:16:41,62937,,9270D6B5,
00006,UltimateDebug3.TPW,%_SB_INSTALLDIR%\Accessory\Template\win,H:\Dev\ClarionLive! Utilities\UltimateDebug\Templates,Ultimate Debug,2014/04/19,13:26:02,20612,,D974018D,
00007,UltimateDebug4.TPW,%_SB_INSTALLDIR%\Accessory\Template\win,H:\Dev\ClarionLive! Utilities\UltimateDebug\Templates,Ultimate Debug,2014/06/06,08:51:18,12639,,82A0E554,
00008,UltimateDB.clw,%_SB_INSTALLDIR%\Accessory\Libsrc\win,H:\Dev\ClarionLive! Utilities\UltimateSQL\Libsrc,Ultimate SQL,2013/04/26,14:52:20,42771,,DC645C11,
00009,UltimateDB.inc,%_SB_INSTALLDIR%\Accessory\Libsrc\win,H:\Dev\ClarionLive! Utilities\UltimateSQL\Libsrc,Ultimate SQL,2013/03/05,15:38:07,4809,,7D6922DC,
00010,UltimateSQL.clw,%_SB_INSTALLDIR%\Accessory\Libsrc\win,H:\Dev\ClarionLive! Utilities\UltimateSQL\Libsrc,Ultimate SQL,2014/09/15,10:16:52,100280,,3D76F44D,
00011,UltimateSQL.inc,%_SB_INSTALLDIR%\Accessory\Libsrc\win,H:\Dev\ClarionLive! Utilities\UltimateSQL\Libsrc,Ultimate SQL,2014/07/23,10:46:16,13638,,60C1DC32,
00012,UltimateSQLConnect.clw,%_SB_INSTALLDIR%\Accessory\Libsrc\win,H:\Dev\ClarionLive! Utilities\UltimateSQL\Libsrc,Ultimate SQL,2012/09/04,09:11:24,17292,,45010ACC,
00013,UltimateSQLConnect.equ,%_SB_INSTALLDIR%\Accessory\Libsrc\win,H:\Dev\ClarionLive! Utilities\UltimateSQL\Libsrc,Ultimate SQL,2012/08/30,12:09:22,8740,,BB442595,
00014,UltimateSQLConnect.inc,%_SB_INSTALLDIR%\Accessory\Libsrc\win,H:\Dev\ClarionLive! Utilities\UltimateSQL\Libsrc,Ultimate SQL,2012/09/04,09:11:42,6275,,A0E9CF98,
00015,UltimateSQLConnectWindow.clw,%_SB_INSTALLDIR%\Accessory\Libsrc\win,H:\Dev\ClarionLive! Utilities\UltimateSQL\Libsrc,Ultimate SQL,2014/07/23,09:00:28,2059,,731A9893,
00016,UltimateSQLDirect.clw,%_SB_INSTALLDIR%\Accessory\Libsrc\win,H:\Dev\ClarionLive! Utilities\UltimateSQL\Libsrc,Ultimate SQL,2013/03/05,15:53:12,36300,,91449126,
00017,UltimateSQLDirect.inc,%_SB_INSTALLDIR%\Accessory\Libsrc\win,H:\Dev\ClarionLive! Utilities\UltimateSQL\Libsrc,Ultimate SQL,2012/10/04,10:02:06,6013,,4441488C,
00018,UltimateSQLScripts.clw,%_SB_INSTALLDIR%\Accessory\Libsrc\win,H:\Dev\ClarionLive! Utilities\UltimateSQL\Libsrc,Ultimate SQL,2013/03/05,15:38:07,39985,,946BEEC7,
00019,UltimateSQLScripts.inc,%_SB_INSTALLDIR%\Accessory\Libsrc\win,H:\Dev\ClarionLive! Utilities\UltimateSQL\Libsrc,Ultimate SQL,2013/03/05,15:38:07,3892,,A1F0F28E,
00020,UltimateSQLString.clw,%_SB_INSTALLDIR%\Accessory\Libsrc\win,H:\Dev\ClarionLive! Utilities\UltimateSQL\Libsrc,Ultimate SQL,2014/03/12,14:04:53,12935,,F931EA87,
00021,UltimateSQLString.inc,%_SB_INSTALLDIR%\Accessory\Libsrc\win,H:\Dev\ClarionLive! Utilities\UltimateSQL\Libsrc,Ultimate SQL,2013/03/05,15:38:07,2216,,6255E92C,
00022,UltimateString.clw,%_SB_INSTALLDIR%\Accessory\Libsrc\win,H:\Dev\ClarionLive! Utilities\UltimateSQL\Libsrc,Ultimate SQL,2014/04/18,15:49:59,28723,,BCCFAB90,
00023,UltimateString.inc,%_SB_INSTALLDIR%\Accessory\Libsrc\win,H:\Dev\ClarionLive! Utilities\UltimateSQL\Libsrc,Ultimate SQL,2014/04/18,15:49:59,3166,,EF4773AE,
00024,WinAPI_EQU.INC,%_SB_INSTALLDIR%\Accessory\Libsrc\win,H:\Dev\ClarionLive! Utilities\UltimateSQL\Libsrc,Ultimate SQL,2013/03/05,15:38:07,59028,,AB70D7EE,
00025,UltimateSQL.tpl,%_SB_INSTALLDIR%\Accessory\Template\win,H:\Dev\ClarionLive! Utilities\UltimateSQL\Templates,Ultimate SQL,2012/08/25,14:11:04,369,,73E4C82E,
00026,UltimateSQL.tpw,%_SB_INSTALLDIR%\Accessory\Template\win,H:\Dev\ClarionLive! Utilities\UltimateSQL\Templates,Ultimate SQL,2013/03/28,19:00:20,10430,,C8D66896,
00027,SQLBase.app,%_CSIDL_COMMON_DOCUMENTS%\ClarionLive\UltimateSQL,H:\Dev\ClarionLive! Utilities\UltimateSQL\Demo,Ultimate SQL,2013/12/27,11:38:37,31944,,1ADC642A,
00028,SQLMain.app,%_CSIDL_COMMON_DOCUMENTS%\ClarionLive\UltimateSQL,H:\Dev\ClarionLive! Utilities\UltimateSQL\Demo,Ultimate SQL,2013/12/27,11:46:17,65124,,EB49661D,
00029,SQLProcedures.app,%_CSIDL_COMMON_DOCUMENTS%\ClarionLive\UltimateSQL,H:\Dev\ClarionLive! Utilities\UltimateSQL\Demo,Ultimate SQL,2013/12/27,12:44:17,377976,,982373A0,
00030,UCustomer.sql,%_CSIDL_COMMON_DOCUMENTS%\ClarionLive\UltimateSQL,H:\Dev\ClarionLive! Utilities\UltimateSQL\Demo,Ultimate SQL,2012/05/17,16:21:49,721,,D66113AB,
